PIVlab by W.Th. & E.J.S., ASCII chart output - 10-May-2020
FRAME: 35, filenames: A: bg_subtracted_PulsatileFlow_Re1000_025Hz_035.TIF & B: bg_subtracted_PulsatileFlow_Re1000_025Hz_036.TIF, conversion factor xy (px -> m): 3.0456e-05, conversion factor uv (px/frame -> m/s): 0.0030456
x [m],y [m],u [m/s],v [m/s],vorticity [1/s],magnitude [m/s],divergence [1/s],dcev [1],simple shear [1/s],simple strain [1/s],vector direction [degrees]
0.00060911539,0.02104493673,0.00174221086,0.001597213905,-4.0811099,0.002363554725,-2.947176473,0,-0.615293774,-2.235398041,42.51379377
0.00060911539,0.02153222904,0.002188464975,0.001458139679,-0.01725809433,0.002629743384,-6.878471518,0,-1.105464136,-2.894285196,33.6748946
0.00060911539,0.02201952135,0.001211936422,-0.0003442494587,2.553038868,0.001259879986,-4.513160201,0,-2.934008261,-0.9383948827,-15.85715004
0.00060911539,0.02250681366,-0.0004853309066,-0.0002838159781,4.051471977,0.000562225576,0.9812398858,0,-2.914643787,0.7332019868,-149.6813911
0.001096407702,0.003989705805,0.01639702571,0.0001974654342,-14.96342828,0.01639821468,-41.51843989,0,9.410496895,-46.68392833,0.6899659291
0.001096407702,0.004476998117,0.02233563889,0.001456016836,18.00325303,0.02238304603,-17.65172525,0,-16.14284919,-18.00149952,3.729723218
0.001096407702,0.004964290429,-0.0002421073865,0.0003679077489,24.22855624,0.0004404226359,-4.938372328,98.47019547,-23.41165734,-3.664683632,123.3475342
0.001096407702,0.005451582741,-0.0008790709349,0.0008353581272,-1.392769082,0.001212678403,-1.698476016,0,2.624383043,-2.337029532,136.4605544
0.001096407702,0.005938875053,0.00171541996,0.000679069968,-6.372765193,0.001844939474,0.7660210539,104.6935174,4.858089955,4.768331948,21.59674174
0.001096407702,0.006426167365,0.004593638436,-0.001114937202,-4.539109002,0.004727007409,-0.4172419134,0,6.090138369,3.469822777,-13.64263698
0.001096407702,0.006913459677,0.006894970487,-0.001215066772,-5.026804972,0.007001214557,0.09504318479,0,6.146592711,0.4527428274,-9.994337847
0.001096407702,0.007400751989,0.01003834923,-0.001289241487,-5.182868105,0.0101208003,0.4419404382,0,5.902101509,-0.6131792852,-7.318526536
0.001096407702,0.007888044301,0.01229659096,-0.0007009150427,-6.21746879,0.0123165511,-0.2320889936,137.917335,3.178112861,-0.3952599109,-3.262372848
0.001096407702,0.008375336613,0.01461674393,-0.001209729554,-6.443434073,0.01466671909,-0.8403430554,132.0110851,3.833793129,0.1395728161,-4.731203312
0.001096407702,0.008862628925,0.01730460476,-0.001178420513,-6.241971036,0.01734468279,0.5706353967,0,6.300805723,0.2668177529,-3.895751536
0.001096407702,0.009349921237,0.02072874262,-0.001061681552,-5.280559262,0.02075591333,0.7439081833,0,6.211960588,-0.06845047537,-2.932004405
0.001096407702,0.009837213549,0.02290482133,-0.0007825643843,-4.804178425,0.02291818595,-1.075430707,85.76446713,3.30174653,-1.23370465,-1.956802085
0.001096407702,0.01032450586,0.02467869753,-0.0009845558765,-2.884386683,0.02469832913,-1.157492911,0,2.745019627,0.08529496295,-2.284601806
0.001096407702,0.01081179817,0.02564798775,-0.001388165361,-2.19190356,0.02568552664,1.087436549,0,4.377685976,0.2522827317,-3.098039881
0.001096407702,0.01129909049,0.027880008,-0.0005775918419,-2.214471686,0.02788599037,1.37722927,0,5.213993152,-0.05137246403,-1.186830416
0.001096407702,0.0117863828,0.02926782155,-0.000692018719,-0.5754475837,0.02927600158,-0.203798327,0,2.860561182,0.8483282128,-1.354469295
0.001096407702,0.01227367511,0.02955434866,-0.001090285016,0.4433274042,0.02957445259,-0.9351463878,0,3.702008033,0.2546206809,-2.112731872
0.001096407702,0.01276096742,0.03085575157,-0.001271783065,-0.5386985523,0.03088195002,-0.9912656035,0,3.175817616,-0.8554591226,-2.360227078
0.001096407702,0.01324825973,0.03136440383,-0.00115646247,0.3652005962,0.03138571703,0.4340098907,0,2.14593705,-0.6761265026,-2.111642735
0.001096407702,0.01373555205,0.03172349075,-0.0007308221349,0.912838979,0.03173190771,-0.1939946685,0,1.999338587,-1.66290419,-1.319704034
0.001096407702,0.01422284436,0.03189384674,-0.000440674153,0.6744311745,0.03189689097,0.05392359648,0,0.8225816253,-1.027922564,-0.7915997961
0.001096407702,0.01471013667,0.03179568333,-0.0002036468179,1.260970607,0.03179633549,-0.2791800325,16.77631513,-1.044207525,0.07550800345,-0.36696628
0.001096407702,0.01519742898,0.03077055116,-0.0006135109061,1.729360287,0.03077666672,-0.07698120236,0,-3.354401007,-0.1659370854,-1.142226168
0.001096407702,0.01568472129,0.02931840554,-0.0001602993,1.565731291,0.02931884375,-0.3301184657,0,-3.453822582,-0.8581414778,-0.3132633464
0.001096407702,0.01617201361,0.02832456114,-0.0003562093518,1.217100708,0.0283268009,-1.211648695,0,-1.853006259,-0.3495874234,-0.7205130746
0.001096407702,0.01665930592,0.02782236601,-0.0005803751299,5.031193519,0.02782841867,-0.6293351219,87.44967984,-3.668431495,0.3880348236,-1.195017831
0.001096407702,0.01714659823,0.02408530076,-0.0008519659047,7.727292289,0.02410036428,1.659657146,135.618212,-5.421836151,2.025273869,-2.02587076
0.001096407702,0.01763389054,0.02141489681,-0.0007585373481,4.942146613,0.02142832668,3.547304106,49.72499946,-2.852432418,2.564776378,-2.028626456
0.001096407702,0.01812118285,0.02028706232,-0.0003731876966,5.724929303,0.02029049449,1.098464517,125.4260099,-2.827501029,-0.3746725042,-1.053857297
0.001096407702,0.01860847517,0.01724736327,-4.068900312e-05,9.067900163,0.01724741126,-0.2564369463,179.4909233,-5.821074991,-1.583688577,-0.135168709
0.001096407702,0.01909576748,0.01303177919,0.0002735718192,9.778503001,0.01303465038,-2.766354393,55.69439246,-9.127888996,-2.870883816,1.202614659
0.001096407702,0.01958305979,0.008034423797,1.024738115e-05,10.44694314,0.008034430332,-3.215435943,0,-12.01921193,-1.907714138,0.0730769732
0.001096407702,0.0200703521,0.002084194547,-0.0003636709627,6.488796412,0.002115685109,-0.9684649236,0,-8.046112215,-1.489272082,-9.897886667
0.001096407702,0.02055764441,0.0009516745674,0.0002640327054,-1.065501159,0.0009876222718,1.088086676,0,-4.358592402,-0.5877537714,15.50614887
0.001096407702,0.02104493673,0.0004794965012,0.0004529532033,-0.4753967229,0.0006596085953,0.07681010465,0,-2.823687823,-1.812322958,43.36944733
0.001096407702,0.02153222904,-0.0001926296323,0.001184592723,-0.6140647366,0.00120015253,-2.64349436,0,-1.836761063,-0.8170251783,99.23616834
0.001096407702,0.02201952135,-0.0001163140187,-0.0004370711869,-0.359749184,0.0004522832889,-2.049102325,0,-0.1031970191,0.3958877834,-104.9022486
0.001096407702,0.02250681366,-6.761373467e-05,-6.832159531e-06,0.02082415623,6.795804235e-05,1.671221427,0,0.220705348,-0.09461405544,-174.2300229
0.001583700014,0.003989705805,-0.008062448848,-0.001784760653,-25.06871525,0.008257629927,-14.82957969,0,23.73555463,-22.82420423,-167.5178918
0.001583700014,0.004476998117,0.003828523904,0.0001630988842,-8.720063607,0.003831996415,-19.17714084,0,6.943825237,-23.64146424,2.43938158
0.001583700014,0.004964290429,-0.0004295562374,0.0003906698189,6.203713344,0.0005806388451,0.6346178268,52.03198631,-5.833221664,0.009272261509,137.7143257
0.001583700014,0.005451582741,-0.002036981986,0.0004678249705,-2.613780405,0.002090013352,0.5271701774,0,2.592533417,2.734579034,167.0654264
0.001583700014,0.005938875053,0.002107440463,-0.0006849835465,-6.741522544,0.002215966553,-1.034084949,96.90834832,5.505119203,1.962171089,-18.00576969
0.001583700014,0.006426167365,0.003930712386,-0.0009922275616,-3.825651524,0.004054012258,-0.2211611911,0,5.408995781,0.333390293,-14.1671775
0.001583700014,0.006913459677,0.006607413098,-0.0009552122213,-5.424076985,0.006676102024,0.3310452252,0,6.209810875,0.7349609852,-8.226073365
0.001583700014,0.007400751989,0.009599816499,-0.001189052606,-5.9522086,0.009673175431,0.8080493326,0,6.564052859,1.091356451,-7.060808696
0.001583700014,0.007888044301,0.01270649108,-0.001093265602,-6.121360187,0.01275343661,1.653976683,101.0351777,4.40895533,1.696704808,-4.917613897
0.001583700014,0.008375336613,0.01473115829,-0.001209873693,-5.267238226,0.01478075841,1.429993976,41.90127261,4.802918913,0.77122294,-4.69517862
0.001583700014,0.008862628925,0.01761360124,-0.0007722515409,-5.989090462,0.01763052243,1.651190736,0,6.963532873,0.4121373359,-2.510470983
0.001583700014,0.009349921237,0.02104287207,-0.0006060924967,-4.009570887,0.02105159882,0.05412966018,0,5.143616691,1.021565446,-1.649819649
0.001583700014,0.009837213549,0.02207387917,-0.001243675562,-3.335230273,0.02210888669,-0.02971662492,34.19155876,3.061221089,0.7037984457,-3.224721152
0.001583700014,0.01032450586,0.02415981364,-0.0009635287514,-4.412900614,0.02417901947,1.497054046,0,4.781966293,-0.4138952789,-2.283829279
